n, jix, jiy, jdx, jdy, lb, rb, d-pad/abyx, central/lt/rt, mapeo
0, 0, 0, 0, 0, 0, 0, 16, 0,A
0, 0, 0, 0, 0, 0, 0, 32, 0,B
0, 0, 0, 0, 0, 0, 0, 64, 0,X
0, 0, 0, 0, 0, 0, 0, 128, 0,Y
0, 0, 0, 0, 0, 0, 0, 8, 0,Cizq
0, 0, 0, 0, 0, 0, 0, 2, 0,Cder
0, 0, 0, 0, 0, 0, 0, 4, 0,Cabj
0, 0, 0, 0, 0, 0, 0, 1, 0,Carr
0, 0, 0, 0, 0, 0, 0, 0, 1,lb
0, 0, 0, 0, 0, 0, 0, 0, 2,rb
0, 0, 0, 0, 0, 0, 0, 0, 64,start
0, 0, 0, 0, 0, 0, 0, 0, 32,back
0, 0, 0, 0, 0, 0, 0, 0, 16,guide
0, 0, 0, 0, 0, 0, 0, 0, 8,rt
0, 0, 0, 0, 0, 0, 0, 0, 4,lt
